,test_MeanSquaredError,test_MeanAbsoluteError,test_MeanAbsolutePercentageError,fit_time,pred_time,len_train_window,cutoff,model
1,0.415476606975881,0.3236527909271,0.1218260013329547,0.3393479999999726,0.0294490999999652,49,2019-01,arima
1,0.4410725760031825,0.3401737499999999,0.127363533673727,0.0022103999999671,0.1021209000000453,49,2019-01,baseline_naive_last
2,0.4550797105525638,0.3684404449645624,0.1429060106865836,0.3232945999998264,0.016516600000159,61,2020-01,arima
2,0.4797952307517065,0.3742704166666666,0.1439734637268976,0.0030707000000802,0.0269117000000278,61,2020-01,baseline_naive_last
2,0.4839488278363707,0.4179463737106322,0.16064179570618795,46.682287599999654,1.936834799999815,61,2020-01,xgboost
1,0.554093260397415,0.4605841240310669,0.19051789168005498,63.76579160000074,2.1455380999996123,49,2019-01,xgboost
0,0.5736529021469922,0.5073291666666665,0.2011053998455967,0.0029700999998567,0.0346978000000035,37,2018-01,baseline_naive_last
0,0.5864844834152677,0.4619572283617655,0.18663371411188,40.08019240000067,4.23563329999979,37,2018-01,xgboost
0,1.1746551315672673,0.9584204569713028,0.3973852057885123,0.3048258999997415,0.0291425999998864,37,2018-01,arima
